location_id,latitude,longitude,dist_road_m,dist_hospital_m,dist_school_m,dist_police_m,dist_market_m,flood_risk,land_use_class,dist_landuse_commercial_m,population_density,elevation_m,label
79,18.9089564,72.78133299999999,2375.580259813116,4348.242430269462,186404.9309198108,187443.68648822617,187332.6788601224,0.0,forest,2869.554703584788,,,0
80,18.9139564,72.78133299999999,2485.197582618237,3831.563170432177,185853.62731147665,186892.0648439973,186781.11003815325,0.0,residential,3012.826507252848,,,0
81,18.918956399999995,72.78133299999999,2610.229643129902,3326.784594688713,185302.3370035073,186340.4545526161,186229.5528869966,0.0,forest,3245.436170467568,,,0
82,18.923956399999994,72.78133299999999,2144.698393538712,2840.2590335802643,184751.06011738905,185788.8557176117,185678.00751306716,0.0,forest,3549.8651006685573,,,0
92,18.973956399999985,72.78133299999999,2125.371376224537,2749.7942350321173,179239.05725187532,180273.5211495353,180163.22586300876,0.0,park,3552.3216085011486,,,0
93,18.978956399999984,72.78133299999999,2278.730285933395,3003.6656921841363,178687.93645555602,179722.05553341034,179611.8174381369,0.0,park,3510.855467767793,,,0
94,18.983956399999983,72.78133299999999,2509.1371660428103,3331.0072210348103,178136.8306586875,179170.60271757343,179060.4221719109,0.0,park,3366.732818263939,,,0
95,18.98895639999998,72.78133299999999,2757.940889394672,3515.15471649821,177585.74000344338,178619.1628230939,178509.04018878326,0.0,residential,3293.155473833095,,,0
96,18.99395639999998,72.78133299999999,3052.2360656177675,3732.817339773064,177034.66463376678,178067.735972541,177957.67161474892,0.0,residential,3311.769309140608,,,0
97,18.99895639999998,72.78133299999999,3164.145001868572,3697.106439345898,176483.60469539315,177516.32229000257,177406.31657736466,0.0,industrial,3421.06996913706,,,0
98,19.00395639999998,72.78133299999999,3180.0951950606395,3683.366352100324,175932.5603358839,176964.92190111414,176854.97520577887,0.0,industrial,3609.866483726084,,,0
99,19.008956399999978,72.78133299999999,3272.495649186034,3752.164691428574,175381.53170464782,176413.534933076,176303.64763074927,0.0,industrial,3855.5372816489776,,,0
100,19.013956399999977,72.78133299999999,3452.305517981942,3899.134968909892,174830.51895297575,175862.1615146833,175752.3339846737,0.0,industrial,4156.436693076256,,,0
101,19.018956399999976,72.78133299999999,3571.373448725151,4088.8607065454585,174279.52223406883,175310.80177634972,175201.03440161445,0.0,park,4505.521988777768,,,0
102,19.02395639999997,72.78133299999999,3494.5341280213747,4305.01245794562,173728.54170306714,174759.4558501312,174649.749017323,0.0,park,4650.605873791802,,,0
103,19.028956399999974,72.78133299999999,3504.5388664125344,4578.257961160812,173177.57751708146,174208.12386975306,174098.47796926758,0.0,residential,4812.701309845659,,,0
104,19.033956399999973,72.78133299999999,3600.473676044275,4899.05336617484,172626.6298352258,173656.80597063762,173547.22139666177,0.0,residential,5030.806520465382,,,0
105,19.03895639999997,72.78133299999999,3761.3874167815343,4701.460904608692,172075.69881864672,173105.5022899285,172995.97944048923,0.0,park,4823.761078950034,,,0
106,19.04395639999997,72.78133299999999,3873.5353619953576,4561.274302267871,171524.78463055665,172554.2129665186,172444.75224353306,0.0,park,4649.621118762106,,,0
107,19.04895639999997,72.78133299999999,3932.195986932082,4485.495948936511,170973.88743626836,172002.93814107982,171893.53995040574,0.0,park,4530.663525028963,,,0
108,19.05395639999997,72.78133299999999,4066.0816522048094,4477.3974024913305,170423.00740322933,171451.67795609176,171342.342707579,0.0,park,4460.270047214636,,,0
109,19.058956399999968,72.78133299999999,4151.663924043556,4537.341177011547,169872.14470105097,170900.43255586564,170791.16066340843,0.0,park,4458.034261098793,,,0
110,19.063956399999967,72.78133299999999,4184.951788673819,4662.703850647959,169321.29950155117,170349.20208658138,170239.9939681715,0.0,park,4382.576222528304,,,0
111,19.06895639999997,72.78133299999999,4271.975572131327,4848.413673300577,168770.47197878454,169797.98669631212,169688.84277409292,0.0,park,4317.361075537016,,,0
112,19.073956399999965,72.78133299999999,4229.708473962109,5083.529179913211,168219.6623090815,169246.7865350577,169137.70723537894,0.0,residential,4322.638661438391,,,0
113,19.078956399999964,72.78133299999999,4223.515391199045,5351.853351913898,167668.8706710839,168695.60175477422,168586.587508248,0.0,residential,4398.155328070664,,,0
114,19.083956399999963,72.78133299999999,4289.37041918957,5543.873480959333,167118.09724578256,168144.432509406,168035.4837509633,0.0,residential,4540.407851220365,,,0
115,19.08895639999996,72.78133299999999,4424.0573794082775,5392.880513624363,166567.34221656094,167593.2789549226,167484.39612387112,0.0,residential,4743.395979234952,,,0
116,19.09395639999996,72.78133299999999,4069.70128811258,5179.882979708601,166016.60576922647,167042.1412493443,166933.3247894271,0.0,forest,4693.608242283449,,,0
117,19.09895639999996,72.78133299999999,3525.2000673609127,4954.692744310337,165465.88809205854,166491.01955278387,166382.26991223887,0.0,forest,4589.626665860371,,,0
118,19.10395639999996,72.78133299999999,2984.054827069918,4596.206458867598,164915.18937584243,165939.91402747363,165831.23165909434,0.0,forest,4488.5591169198415,,,0
119,19.10895639999996,72.78133299999999,2448.4918999759348,4279.511506374664,164364.5098139167,165388.82483780658,165280.21019900363,0.0,forest,4444.577040150952,,,0
120,19.11395639999996,72.78133299999999,1923.180843478483,4014.5106644204193,163813.849602214,164837.75215037022,164729.20570323418,0.0,forest,4468.869805022974,,,0
129,19.158956399999948,72.78133299999999,82.74409882594881,4122.984498308701,158858.81212721468,159878.8691853407,159770.95806188934,0.0,forest,4873.980047056062,,,0
130,19.163956399999947,72.78133299999999,112.60447330749594,4484.565069909815,158308.35679693118,159327.97119243347,159220.13315352434,0.0,forest,4427.151122075294,,,0
131,19.168956399999946,72.78133299999999,259.45253709492994,4393.574674424017,157757.9231564195,158777.0916900727,158669.32725373146,0.0,forest,4007.0730075093215,,,0
132,19.173956399999945,72.78133299999999,804.545354096309,4155.744104449171,157207.51143639605,158226.2308742566,158118.54056403044,0.0,forest,3623.062725524605,,,0
144,19.233956399999933,72.78133299999999,23.191132228752167,4127.712766456259,150604.36916699325,151617.4338585101,151510.67601936148,0.0,residential,5008.84648903979,,,0
145,19.23895639999993,72.78133299999999,68.71346579875996,4429.7042585801455,150054.26496141794,151066.83511569144,150960.15874884074,0.0,residential,5480.657479009088,,,0
146,19.24395639999993,72.78133299999999,44.56860239819642,4776.980021292459,149504.1862735021,150516.2581135556,150409.6638287469,0.0,residential,5966.5454811507925,,,0
147,19.24895639999993,72.78133299999999,393.9612307377138,5160.4058490401885,148954.13338901376,149965.7030945967,149859.19150843046,0.0,residential,6463.336584814525,,,0
148,19.25395639999993,72.78133299999999,260.35950623593493,5572.524738041662,148404.10659794754,149415.17030487664,149308.74204091207,0.0,forest,6968.6994353975815,,,0
149,19.258956399999928,72.78133299999999,137.76456836489024,6007.434505727256,147854.10619459915,148864.6599940868,148758.31568294644,0.0,forest,7212.266480578054,,,0
150,19.263956399999927,72.78133299999999,365.2475565874256,6430.416007739165,147304.13247764882,148314.17241561893,148207.91269509512,0.0,forest,7356.922518073164,,,0
151,19.26895639999993,72.78133299999999,639.2080996641688,6802.389121794171,146754.18575023703,147763.70782662797,147657.5333417912,0.0,forest,7539.549849301386,,,0
152,18.8939564,72.78633299999998,2032.7309055392773,5350.678455884471,188012.11084770405,189055.19971658528,188943.4539199609,0.0,forest,2559.9060171752767,,,0
153,18.8989564,72.78633299999998,1945.2025125290609,5083.098707595063,187460.6334563721,188503.4205329905,188391.7248726797,0.0,forest,2370.755647800881,,,0
154,18.9039564,72.78633299999998,1827.7271480837096,4741.290418568537,186909.16821377177,187951.65166814864,187840.0064431347,0.0,forest,2302.241763290825,,,0
155,18.9089564,72.78633299999998,1853.972503282668,4200.071061973208,186357.7152301526,187399.89321559016,187288.2987275461,0.0,forest,2351.9090059737787,,,0
157,18.918956399999995,72.78633299999998,2202.605600761988,3130.6516349102426,185254.8464874164,186296.40792698655,186184.91582882177,0.0,residential,2798.2390196093384,,,0
171,18.98895639999998,72.78633299999998,2309.429434159831,3022.296007848237,177536.22998021764,178573.25484324727,178462.5154999094,0.0,residential,2767.311113110357,,,0
172,18.99395639999998,72.78633299999998,2612.885889031067,3272.9157182112376,176985.00361367263,178021.68884616214,177911.0058129865,0.0,industrial,2789.45311370728,,,0
173,18.99895639999998,72.78633299999998,2638.4968522649583,3173.5531642339824,176433.79173435972,177470.13515066582,177359.508783758,0.0,industrial,2918.397763796721,,,0
174,19.00395639999998,72.78633299999998,2655.6441116655533,3157.5527309274703,175882.59448104506,176918.5938743535,176808.02453321332,0.0,industrial,3130.135956582701,,,0
175,19.008956399999978,72.78633299999998,2765.638756593361,3237.5604248912086,175331.4119942378,176367.0651362905,176256.55318385485,0.0,industrial,3407.2874793300816,,,0
176,19.013956399999977,72.78633299999998,2974.611962484586,3406.8189522880834,174780.24441621327,175815.54905703096,175705.09485971768,0.0,park,3744.395322650681,,,0
177,19.018956399999976,72.78633299999998,3059.2107540715924,3596.6606926820737,174229.0918910484,175264.04575864863,175153.6496864011,0.0,residential,4028.4095219133055,,,0
178,19.02395639999997,72.78633299999998,2969.163895610034,3840.6283719613193,173677.95456464245,174712.55536475347,174602.2177910856,0.0,park,4141.160825762009,,,0
179,19.028956399999974,72.78633299999998,2980.9494523688654,4144.616498957837,173126.83258475093,174161.07800052036,174050.7993025626,0.0,residential,4322.418465565542,,,0
180,19.033956399999973,72.78633299999998,3089.6506417570813,4425.262092031532,172575.7261010142,173609.6137927134,173499.3943512594,0.0,residential,4564.027762394063,,,0
181,19.03895639999997,72.78633299999998,3274.9362634395707,4203.761498995951,172024.63526498375,173058.16286970716,172948.00306926112,0.0,park,4338.147713490665,,,0
182,19.04395639999997,72.78633299999998,3347.450337025156,4046.385569238774,171473.56023015943,172506.72536151897,172396.62559034387,0.0,park,4143.666199523653,,,0
183,19.04895639999997,72.78633299999998,3415.1757444945342,3960.785503756776,170922.5011520159,171955.30139983044,171845.26204999685,0.0,park,4014.735823742369,,,0
184,19.05395639999997,72.78633299999998,3568.527817618902,3951.628595436621,170371.45818803407,171403.89111801374,171293.91258544964,0.0,park,3935.141016327199,,,0
185,19.058956399999968,72.78633299999998,3625.257403568585,4019.437441244424,169820.4314977381,170852.49465116317,170742.57733570453,0.0,park,3932.623518395461,,,0
186,19.063956399999967,72.78633299999998,3663.266857087708,4160.450587505902,169269.42124272243,170301.11213611733,170191.2564415595,0.0,park,3865.940961981501,,,0
187,19.06895639999997,72.78633299999998,3747.67659859641,4367.5833957046425,168718.42758669113,169749.74371149245,169639.95004564227,0.0,residential,3791.8678100221296,,,0
